Distric Number,District,% Eco Disadvantaged,2020 4-Year Graduation Rate,2020 Dropout Rate
20904,DANBURY ISD ,30.4,96.8,0.4
20905,BRAZOSPORT ISD ,69.7,91.3,1.7
20906,SWEENY ISD ,57.2,100,0
20907,COLUMBIA-BRAZORIA ISD ,59.8,97,0
20908,PEARLAND ISD ,31.5,98.9,0
20910,DAMON ISD ,74.8,,
21803,BRAZOS SCHOOL FOR INQUIRY & CREATI ,93.6,,
21805,ARROW ACADEMY ,69.2,,
21901,COLLEGE STATION ISD ,36.1,94,1
21902,BRYAN ISD ,76.9,89.7,1.4
22004,TERLINGUA CSD ,77.6,100,0
22901,ALPINE ISD ,53.3,97.1,0.6
22902,MARATHON ISD ,76.7,100,0
22903,SAN VICENTE ISD ,0,,
23902,SILVERTON ISD ,48.1,100,0
24901,BROOKS COUNTY ISD ,86,92,1
25901,BANGS ISD ,63.7,97.8,0
25902,BROWNWOOD ISD ,59.1,96.4,1
25904,BLANKET ISD ,58,92.3,0
25905,MAY ISD ,65.6,100,0
25906,ZEPHYR ISD ,59.8,100,0
25908,BROOKESMITH ISD ,58.2,100,0
25909,EARLY ISD ,42,97.6,0
26901,CALDWELL ISD ,55.5,99.1,0
26902,SOMERVILLE ISD ,71.5,100,0
26903,SNOOK ISD ,69.5,100,0
27903,BURNET CISD ,52,97.3,0.3
27904,MARBLE FALLS ISD ,67.9,94.8,0.4
28902,LOCKHART ISD ,77.8,94.1,1.9
28903,LULING ISD ,76.9,93.7,1.9
28906,PRAIRIE LEA ISD ,68.8,100,1.4
29901,CALHOUN COUNTY ISD ,59.4,97.1,0.5
30901,CROSS PLAINS ISD ,65.6,100,0
30902,CLYDE CISD ,46.8,100,0.7
30903,BAIRD ISD ,58.4,100,0
30906,EULA ISD ,41.4,100,0
31901,BROWNSVILLE ISD ,89.2,93.8,0.4
31903,HARLINGEN CISD ,79.4,95,0.8
31905,LA FERIA ISD ,84.3,95.1,1.2
31906,LOS FRESNOS CISD ,80.4,94.2,0.6
31909,POINT ISABEL ISD ,87.9,91.1,1.6
31911,RIO HONDO ISD ,90.9,95.8,0.3
31912,SAN BENITO CISD ,88.5,90.3,2.1
31913,SANTA MARIA ISD ,98.5,90.5,0.5
31914,SANTA ROSA ISD ,88.7,98.5,0.6
31916,SOUTH TEXAS ISD ,47.8,98.9,0
32902,PITTSBURG ISD ,78.4,100,0
33901,GROOM ISD ,23.4,100,0
33902,PANHANDLE ISD ,30.2,100,0
33904,WHITE DEER ISD ,46.9,100,0
