Distric Number,District,% Eco Disadvantaged,2020 4-Year Graduation Rate,2020 Dropout Rate
101875,BLOOM ACADEMY CHARTER SCHOOL ,93.5,,
101876,REVE PREPARATORY CHARTER SCHOOL ,62.5,,
101878,HOUSTON CLASSICAL CHARTER SCHOOL ,50.9,,
101902,ALDINE ISD ,91.6,82.1,3.4
101903,ALIEF ISD ,87,90.1,2.4
101905,CHANNELVIEW ISD ,82.8,90.2,2
101906,CROSBY ISD ,53.6,94.6,0.4
101907,CYPRESS-FAIRBANKS ISD ,54.9,93.6,0.8
101908,DEER PARK ISD ,46,93.5,1.1
101910,GALENA PARK ISD ,86.9,92.2,1.9
101911,GOOSE CREEK CISD ,69.8,93,1
101912,HOUSTON ISD ,78.5,83.8,3.1
101913,HUMBLE ISD ,40.4,95.9,0.5
101914,KATY ISD ,34.4,95.3,0.5
101915,KLEIN ISD ,49.5,93.1,1.3
101916,LA PORTE ISD ,50.4,93.6,0.7
101917,PASADENA ISD ,83.8,90.5,1.4
101919,SPRING ISD ,87.5,86.4,2.5
101920,SPRING BRANCH ISD ,57.1,90,1.7
101921,TOMBALL ISD ,23.8,98.5,0.2
101924,SHELDON ISD ,80.6,92.3,1
101925,HUFFMAN ISD ,34.4,98.1,0.1
102901,KARNACK ISD ,100,,
102902,MARSHALL ISD ,63.2,88.6,2.9
102903,WASKOM ISD ,63.5,90.4,1.4
102904,HALLSVILLE ISD ,47.2,70.4,2.2
102905,HARLETON ISD ,46.2,98.1,0
102906,ELYSIAN FIELDS ISD ,51.1,98.4,0.7
103901,CHANNING ISD ,75.6,100,0
103902,HARTLEY ISD ,59.1,100,0
104901,HASKELL CISD ,62.5,97.4,0.5
104903,RULE ISD ,83.7,100,0
104907,PAINT CREEK ISD ,81.3,100,0
105801,KATHERINE ANNE PORTER SCHOOL ,29.7,72.4,6.3
105802,TEXAS PREPARATORY SCHOOL ,53.1,,
105803,KI CHARTER ACADEMY ,98.2,28.6,3.6
105902,SAN MARCOS CISD ,74.5,84,2
105904,DRIPPING SPRINGS ISD ,8.8,97.8,0.6
105905,WIMBERLEY ISD ,29.3,100,0
105906,HAYS CISD ,43.6,91.3,1.4
106901,CANADIAN ISD ,44.8,100,0
107901,ATHENS ISD ,79.8,94.5,0.6
107902,BROWNSBORO ISD ,57.4,95.5,0.3
107904,CROSS ROADS ISD ,59.4,100,0
107905,EUSTACE ISD ,73.7,98.2,0.6
107906,MALAKOFF ISD ,68.3,100,0
107907,TRINIDAD ISD ,71,100,0
107908,MURCHISON ISD ,63.1,,
107910,LAPOYNOR ISD ,49.5,100,0
108802,HORIZON MONTESSORI PUBLIC SCHOOLS ,68.9,,
108804,TRIUMPH PUBLIC HIGH SCHOOLS-RIO GR ,90.4,67.6,0.4
108807,IDEA PUBLIC SCHOOLS ,86.4,98.9,0.1
108808,VANGUARD ACADEMY ,73.6,99.2,0
108809,EXCELLENCE IN LEADERSHIP ACADEMY ,87,,
108902,DONNA ISD ,94.6,91.1,1.1
108903,EDCOUCH-ELSA ISD ,93.7,91.5,1.9
108904,EDINBURG CISD ,82.9,92.5,0.9
108905,HIDALGO ISD ,89.2,91,1.4
108906,MCALLEN ISD ,73.6,98.1,0.2
108907,MERCEDES ISD ,91.2,94.4,0.9
108908,MISSION CISD ,86.4,94.2,0.7
108909,PHARR-SAN JUAN-ALAMO ISD ,91.7,96.8,0.7
108910,PROGRESO ISD ,99.9,90.1,3.1
108911,SHARYLAND ISD ,64.3,97.7,0.3
108912,LA JOYA ISD ,93.2,89.5,1.7
108913,WESLACO ISD ,84.7,93.6,1
108914,LA VILLA ISD ,91.8,97.4,1.5
108915,MONTE ALTO ISD ,95.4,98.3,1.1
108916,VALLEY VIEW ISD ,95,96.5,0.5
109901,ABBOTT ISD ,28.5,100,0
109902,BYNUM ISD ,59,100,0
109903,COVINGTON ISD ,47.8,100,0
109904,HILLSBORO ISD ,62.8,98.3,0.4
109905,HUBBARD ISD ,60.6,93.8,0
109907,ITASCA ISD ,73.7,93.6,1.9
109908,MALONE ISD ,92.1,,
109910,MOUNT CALM ISD ,79.9,90,0
109911,WHITNEY ISD ,62.2,96.1,0.6
109912,AQUILLA ISD ,46.4,100,0
109913,BLUM ISD ,61.4,100,0
109914,PENELOPE ISD ,66.8,100,0
110901,ANTON ISD ,91.3,100,0
110902,LEVELLAND ISD ,72.3,95.9,0.4
110905,ROPES ISD ,40.4,100,0.7
110906,SMYER ISD ,56.8,96.9,3.3
110907,SUNDOWN ISD ,43.6,100,0
110908,WHITHARRAL ISD ,49.4,100,0
111801,LAKE GRANBURY ACADEMY CHARTER SCHO ,100,,0
111901,GRANBURY ISD ,54.2,95.1,0.6
111902,LIPAN ISD ,54.2,96.7,0
111903,TOLAR ISD ,37.9,98.2,0
112901,SULPHUR SPRINGS ISD ,60.2,92,1.4
112905,CUMBY ISD ,59.5,96,0.7
112906,NORTH HOPKINS ISD ,62.7,100,0
112907,MILLER GROVE ISD ,52,100,0
112908,COMO-PICKTON CISD ,67.4,100,0
112909,SALTILLO ISD ,64.8,100,0
112910,SULPHUR BLUFF ISD ,50.9,88.9,0
113901,CROCKETT ISD ,89.4,96.4,0.3
113902,GRAPELAND ISD ,68.1,97.8,0.5
113903,LOVELADY ISD ,48.8,97.5,0
113905,LATEXO ISD ,47,96.2,0
113906,KENNARD ISD ,65.5,100,0
114901,BIG SPRING ISD ,66.3,79.5,2.4
114902,COAHOMA ISD ,36.1,100,0
114904,FORSAN ISD ,37.8,100,0.5
115901,FT HANCOCK ISD ,93.1,100,0
115902,SIERRA BLANCA ISD ,81.3,100,0
115903,DELL CITY ISD ,71.8,100,5.3
116901,CADDO MILLS ISD ,29.1,97.6,0
116902,CELESTE ISD ,51.6,100,0
116903,COMMERCE ISD ,68.2,93.8,1.8
116905,GREENVILLE ISD ,75.2,98.4,0.6
116906,LONE OAK ISD ,38.2,100,0
116908,QUINLAN ISD ,68.3,95.4,0.5
116909,WOLFE CITY ISD ,56.3,100,0
116910,CAMPBELL ISD ,71.4,100,0
116915,BLAND ISD ,52.6,100,0.5
116916,BOLES ISD ,50.1,100,0
117901,BORGER ISD ,57.5,95,0.8
117903,SANFORD-FRITCH ISD ,43.4,94.4,0
117904,PLEMONS-STINNETT-PHILLIPS CISD ,34.3,100,0
117907,SPRING CREEK ISD ,43.4,,0
118902,IRION COUNTY ISD ,41.5,100,0
119901,BRYSON ISD ,54.2,100,0
119902,JACKSBORO ISD ,69.8,100,0.3
119903,PERRIN-WHITT CISD ,63.6,93.8,0
120901,EDNA ISD ,60.3,99.2,0
120902,GANADO ISD ,54.2,90,1.3
120905,INDUSTRIAL ISD ,36.1,97.4,0
121902,BROOKELAND ISD ,60.6,93.1,2.5
121903,BUNA ISD ,47.1,94.4,1.1
121904,JASPER ISD ,81,91.9,0.5
121905,KIRBYVILLE CISD ,67.4,95.8,0.7
121906,EVADALE ISD ,37.5,97,0
122901,FT DAVIS ISD ,43.1,100,0
122902,VALENTINE ISD ,58.8,,0
123803,TEKOA ACADEMY OF ACCELERATED STUDI ,87.5,89.5,1.2
123805,EHRHART SCHOOL ,88.6,,
123807,BOB HOPE SCHOOL ,84.9,96.9,0.4
123905,NEDERLAND ISD ,50.8,96.7,0.8
123907,PORT ARTHUR ISD ,85,83.3,5.3
123908,PORT NECHES-GROVES ISD ,41.2,98.3,0.9
123910,BEAUMONT ISD ,77.8,84.5,2.3
123913,SABINE PASS ISD ,52.6,100,0
123914,HAMSHIRE-FANNETT ISD ,35.6,94.8,0.5
124901,JIM HOGG COUNTY ISD ,87.3,98.8,0.6
125901,ALICE ISD ,83,93.4,1.6
125902,BEN BOLT-PALITO BLANCO ISD ,84.8,94,1.1
125903,ORANGE GROVE ISD ,61.6,96,0
125905,PREMONT ISD ,93.9,97.4,1
125906,LA GLORIA ISD ,57.1,,
126901,ALVARADO ISD ,68.5,96.3,0.1
126902,BURLESON ISD ,32.9,95.3,0.9
126903,CLEBURNE ISD ,61.4,92.8,1.6
126904,GRANDVIEW ISD ,38.2,98.8,0
126905,JOSHUA ISD ,46.6,96.6,0.3
126906,KEENE ISD ,74.2,98.7,0.6
126907,RIO VISTA ISD ,54.7,95.6,0
126908,VENUS ISD ,72.3,90.1,2
126911,GODLEY ISD ,47.7,95.9,0.3
127901,ANSON ISD ,62.9,100,0
127903,HAMLIN COLLEGIATE ISD ,68.6,96.6,0
127904,HAWLEY ISD ,55,98,0
127905,LUEDERS-AVOCA ISD ,74.8,100,2.9
127906,STAMFORD ISD ,65,100,0.5
128901,KARNES CITY ISD ,69,95.2,0.3
128902,KENEDY ISD ,79.4,77.3,0.5
128903,RUNGE ISD ,84.6,95.2,1.4
128904,FALLS CITY ISD ,20.4,100,0
129901,CRANDALL ISD ,55.1,98.7,0.1
129902,FORNEY ISD ,33.5,97.2,0.3
129903,KAUFMAN ISD ,75.3,98.6,0.2
129904,KEMP ISD ,77.3,92.3,1.6
129905,MABANK ISD ,63.7,97.6,0.5
129906,TERRELL ISD ,73.5,90.4,1.7
129910,SCURRY-ROSSER ISD ,39.9,98.8,0
130801,MEADOWLAND CHARTER DISTRICT ,96.3,77.8,4.8
130901,BOERNE ISD ,18.2,98.7,0.3
130902,COMFORT ISD ,49.4,98.9,0.3
131001,KENEDY COUNTY WIDE CSD ,52.8,,
132902,JAYTON-GIRARD ISD ,38.6,100,0
133901,CENTER POINT ISD ,64.8,97.9,0.5
133902,HUNT ISD ,40.2,,
133903,KERRVILLE ISD ,53.9,93.7,0
133904,INGRAM ISD ,73.3,100,0
133905,DIVIDE ISD ,0,,
134901,JUNCTION ISD ,65.4,100,0
135001,GUTHRIE CSD ,22.7,100,0
136901,BRACKETT ISD ,64.2,100,0
137901,KINGSVILLE ISD ,82,82.2,5.2
137902,RICARDO ISD ,54,,
137903,RIVIERA ISD ,70.3,95.2,0.6
137904,SANTA GERTRUDIS ISD ,40.6,100,0
138902,KNOX CITY-O'BRIEN CISD ,65.7,100,0
138903,MUNDAY CISD ,57,100,0
138904,BENJAMIN ISD ,72.5,100,0
139905,CHISUM ISD ,47.1,97.5,0
139909,PARIS ISD ,74.2,97.1,0.8
139911,NORTH LAMAR ISD ,49.6,89.9,1.3
139912,PRAIRILAND ISD ,50.7,96.3,2.1
140901,AMHERST ISD ,86.3,100,0
140904,LITTLEFIELD ISD ,76.6,96.4,0
140905,OLTON ISD ,67.4,100,0.5
140907,SPRINGLAKE-EARTH ISD ,70.3,100,0
140908,SUDAN ISD ,51.4,100,0
141901,LAMPASAS ISD ,50.1,99.6,0
141902,LOMETA ISD ,81.3,100,0
142901,COTULLA ISD ,78.3,94.1,3.5
143901,HALLETTSVILLE ISD ,41.4,96.6,0.8
143902,MOULTON ISD ,49.8,100,1.3
143903,SHINER ISD ,27.7,100,0
143904,VYSEHRAD ISD ,43.9,,
143905,SWEET HOME ISD ,19.6,,
143906,EZZELL ISD ,53.2,,
144901,GIDDINGS ISD ,71.2,98.5,0.2
144902,LEXINGTON ISD ,41.4,98.6,0.6
144903,DIME BOX ISD ,73.1,100,4.3
145901,BUFFALO ISD ,67.9,98.4,1
145902,CENTERVILLE ISD ,43.8,94.5,1.4
145906,NORMANGEE ISD ,49.3,94.7,0
145907,OAKWOOD ISD ,94.8,100,0
145911,LEON ISD ,57,97.4,0
146901,CLEVELAND ISD ,93.7,88.3,0.6
146902,DAYTON ISD ,71.5,98.3,0.5
146903,DEVERS ISD ,38,,
146904,HARDIN ISD ,57.4,100,0
146905,HULL-DAISETTA ISD ,68.9,94.6,0
146906,LIBERTY ISD ,59.8,94.7,0.8
146907,TARKINGTON ISD ,53.3,96.9,0.4
147901,COOLIDGE ISD ,77.6,100,0
147902,GROESBECK ISD ,64.2,94,0.2
147903,MEXIA ISD ,82.4,95,1.6
148901,BOOKER ISD ,71.3,92.6,0
148902,FOLLETT ISD ,54.1,88.9,0
148905,DARROUZETT ISD ,73.2,100,0
149901,GEORGE WEST ISD ,62.6,94,1.4
149902,THREE RIVERS ISD ,64.1,98.4,0.5
150901,LLANO ISD ,65.3,97.6,0.5
152802,RISE ACADEMY ,86.6,,
152803,TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOC ,83.9,72.1,2.2
152806,BETTY M CONDRA SCHOOL FOR EDUCATIO ,71.6,,
152901,LUBBOCK ISD ,72.6,91.5,2.2
152902,NEW DEAL ISD ,70.4,95.9,0.4
152903,SLATON ISD ,71.5,97.6,0
152906,LUBBOCK-COOPER ISD ,36.4,99.2,0.2
152907,FRENSHIP ISD ,44.7,97.8,0.2
152908,ROOSEVELT ISD ,73.2,98.5,0.3
152909,SHALLOWATER ISD ,37.3,100,0
152910,IDALOU ISD ,31.9,100,0
153903,O'DONNELL ISD ,70.1,94.4,0
153904,TAHOKA ISD ,70.2,100,0.6
153905,NEW HOME ISD ,15.3,95.7,0
153907,WILSON ISD ,82.2,100,0
154901,MADISONVILLE CISD ,73.8,98.8,0
154903,NORTH ZULCH ISD ,61.5,95.7,0
155901,JEFFERSON ISD ,75.3,97.8,0.5
156902,STANTON ISD ,55.3,98.3,0
156905,GRADY ISD ,18.1,100,0
157901,MASON ISD ,47.5,97.7,0
158901,BAY CITY ISD ,80.9,93,0.2
158902,TIDEHAVEN ISD ,60.7,98.6,0.3
158904,MATAGORDA ISD ,58.5,,
158905,PALACIOS ISD ,70.5,91.2,1.7
158906,VAN VLECK ISD ,56.1,100,0
159901,EAGLE PASS ISD ,83.3,96.5,0.9
160901,BRADY ISD ,68.4,98.6,0.3
160904,ROCHELLE ISD ,59.5,100,0
160905,LOHN ISD ,61.8,80,0
161801,WACO CHARTER SCHOOL ,97.8,,
161802,RAPOPORT ACADEMY PUBLIC SCHOOL ,70.2,100,0
161807,HARMONY SCIENCE ACAD (WACO) ,61.4,97,0.3
161901,CRAWFORD ISD ,17.6,100,0.6
161903,MIDWAY ISD ,33.6,99.8,0
161906,LA VEGA ISD ,89.7,93.1,0.6
161907,LORENA ISD ,25.3,99.2,0
161908,MART ISD ,62.2,90.9,0.6
161909,MCGREGOR ISD ,64.7,98.8,0
161910,MOODY ISD ,65.8,98.1,0
161912,RIESEL ISD ,46.6,100,0
161914,WACO ISD ,91.3,83.9,2.9
161916,WEST ISD ,42.6,97.1,0.7
161918,AXTELL ISD ,56.3,97.6,0
161919,BRUCEVILLE-EDDY ISD ,57.4,98.3,0.4
161920,CHINA SPRING ISD ,31.2,99.5,0
161921,CONNALLY ISD ,80.4,94.7,1.3
161922,ROBINSON ISD ,36.1,98.8,0
161923,BOSQUEVILLE ISD ,37.3,100,0
161924,HALLSBURG ISD ,48.2,,
161925,GHOLSON ISD ,69.3,90.9,0
162904,MCMULLEN COUNTY ISD ,24.7,100,0
163901,DEVINE ISD ,59.8,94.1,0.7
163902,D'HANIS ISD ,41.6,100,1
163903,NATALIA ISD ,76.3,94.6,1.2
163904,HONDO ISD ,63.2,96.6,0.2
163908,MEDINA VALLEY ISD ,47,99.7,0
164901,MENARD ISD ,59.9,100,1.2
165802,MIDLAND ACADEMY CHARTER SCHOOL ,41.9,,
165901,MIDLAND ISD ,50.6,89.7,1.7
165902,GREENWOOD ISD ,41.7,99.4,0.7
166901,CAMERON ISD ,71.9,95.3,0.4
166902,GAUSE ISD ,66.3,,
166903,MILANO ISD ,57.1,100,0
166904,ROCKDALE ISD ,70.3,96.9,0
166905,THORNDALE ISD ,38.3,100,0
166907,BUCKHOLTS ISD ,78,91.7,0
167901,GOLDTHWAITE ISD ,43,98.1,0
167902,MULLIN ISD ,88.4,71.4,6.7
167904,PRIDDY ISD ,58.6,100,0
168901,COLORADO ISD ,54.9,100,0.4
168902,LORAINE ISD ,69,100,2.1
168903,WESTBROOK ISD ,31.7,100,0
169901,BOWIE ISD ,50.7,98.2,0.2
169902,NOCONA ISD ,58.7,96.6,0.7
169906,GOLD BURG ISD ,70.7,100,0
169908,MONTAGUE ISD ,47,,
169909,PRAIRIE VALLEY ISD ,67.1,100,0
169910,FORESTBURG ISD ,54.3,100,0
169911,SAINT JO ISD ,48.6,96.3,0
170801,TEXAS SERENITY ACADEMY ,93.3,,
170902,CONROE ISD ,39.8,97.3,0.3
170903,MONTGOMERY ISD ,26.2,96.6,0.4
170904,WILLIS ISD ,58.7,91,1.3
170906,MAGNOLIA ISD ,45,92.7,0.6
170907,SPLENDORA ISD ,67.2,95.2,0.9
170908,NEW CANEY ISD ,65.9,93.8,0.9
171901,DUMAS ISD ,64.7,98.3,0.1
171902,SUNRAY ISD ,38.4,97,0
172902,DAINGERFIELD-LONE STAR ISD ,87.2,98.2,0
172905,PEWITT CISD ,72.8,98.2,0.4
173901,MOTLEY COUNTY ISD ,70.1,100,0
174801,STEPHEN F AUSTIN STATE UNIVERSITY ,9.4,,
174901,CHIRENO ISD ,65,100,1
174902,CUSHING ISD ,65.5,100,0
174903,GARRISON ISD ,51.5,98.2,0
174904,NACOGDOCHES ISD ,86.8,94.4,1.2
174906,WODEN ISD ,58.7,95,0
174908,CENTRAL HEIGHTS ISD ,36.2,98.6,0
174909,MARTINSVILLE ISD ,58.7,96.2,0
174910,ETOILE ISD ,76.9,,
174911,DOUGLASS ISD ,38.6,100,0
175902,BLOOMING GROVE ISD ,64.4,100,0.3
175903,CORSICANA ISD ,71.2,92.2,2
175904,DAWSON ISD ,65.6,100,0
175905,FROST ISD ,40.4,92.3,1.6
175907,KERENS ISD ,76.4,97.4,0
175910,MILDRED ISD ,45.5,97.2,0
175911,RICE ISD ,66.5,97,1
176901,BURKEVILLE ISD ,84,85.7,1.2
176902,NEWTON ISD ,77.4,98.6,0
176903,DEWEYVILLE ISD ,54.1,100,0
177901,ROSCOE COLLEGIATE ISD ,44.3,100,0
177902,SWEETWATER ISD ,73.7,89.6,0.5
177903,BLACKWELL CISD ,31.5,100,0
177905,HIGHLAND ISD ,23.9,100,0
178801,DR M L GARZA-GONZALEZ CHARTER SCHO ,96.4,,
178807,CORPUS CHRISTI MONTESSORI SCHOOL ,35.3,,
178808,SEASHORE CHARTER SCHOOLS ,1.2,,
178901,AGUA DULCE ISD ,77,93.5,1.5
178902,BISHOP CISD ,62.1,98.6,0.2
178903,CALALLEN ISD ,51.7,98.5,0.5
178904,CORPUS CHRISTI ISD ,71.4,94.4,0.8
178905,DRISCOLL ISD ,89.5,,
178906,LONDON ISD ,14.1,98.8,0
178908,PORT ARANSAS ISD ,26.3,100,0
178909,ROBSTOWN ISD ,87.5,89.7,0.1
178912,TULOSO-MIDWAY ISD ,65,98.7,0
178913,BANQUETE ISD ,73.8,96.6,0
178914,FLOUR BLUFF ISD ,46.1,87.7,2.2
178915,WEST OSO ISD ,92.4,97.9,1.1
179901,PERRYTON ISD ,52.4,98.1,0
180901,BOYS RANCH ISD ,72.3,97.8,1.4
180902,VEGA ISD ,21.9,100,0
180903,ADRIAN ISD ,68,100,0
180904,WILDORADO ISD ,20.8,,0
181901,BRIDGE CITY ISD ,35.8,94.1,1
181905,ORANGEFIELD ISD ,32,99.2,0.2
181906,WEST ORANGE-COVE CISD ,89.8,83.9,1.4
181907,VIDOR ISD ,55.2,89.9,3.1
181908,LITTLE CYPRESS-MAURICEVILLE CISD ,54.6,95.7,0.3
182901,GORDON ISD ,59.1,100,0
182902,GRAFORD ISD ,57.3,94.4,1
182903,MINERAL WELLS ISD ,80.5,98.1,0.6
182904,SANTO ISD ,44,100,0
182905,STRAWN ISD ,75.4,100,0
182906,PALO PINTO ISD ,65.5,,
183801,PANOLA CHARTER SCHOOL ,29.8,90.2,0.6
183901,BECKVILLE ISD ,37.5,97.6,0
183902,CARTHAGE ISD ,55.9,95.6,0.7
183904,GARY ISD ,55.6,100,1.4
184801,CROSSTIMBERS ACADEMY ,45,91.1,0
184901,POOLVILLE ISD ,48.2,100,0
184902,SPRINGTOWN ISD ,48.7,90,1.3
184903,WEATHERFORD ISD ,42.6,96.7,0.9
184904,MILLSAP ISD ,47.9,98.6,0
184907,ALEDO ISD ,12.9,98.4,0.3
184908,PEASTER ISD ,29.3,97.8,0.2
184909,BROCK ISD ,10.9,100,0
184911,GARNER ISD ,52.3,,
185901,BOVINA ISD ,80.6,90.9,0
185902,FARWELL ISD ,56.6,94.3,0.6
185903,FRIONA ISD ,67.1,100,0.6
185904,LAZBUDDIE ISD ,67,100,0
186901,BUENA VISTA ISD ,49.6,100,0
186902,FORT STOCKTON ISD ,66.6,92.4,1.1
186903,IRAAN-SHEFFIELD ISD ,60.8,96.3,1.2
187901,BIG SANDY ISD ,53,100,0
187903,GOODRICH ISD ,89.4,93.3,0
187904,CORRIGAN-CAMDEN ISD ,69,98.4,0
187906,LEGGETT ISD ,90.7,100,1.9
187907,LIVINGSTON ISD ,60.7,89.3,3.4
187910,ONALASKA ISD ,77.5,98.4,0
188901,AMARILLO ISD ,67,91.3,1.6
188902,RIVER ROAD ISD ,62,98.9,0.9
188903,HIGHLAND PARK ISD ,46.8,96.2,0.8
188904,BUSHLAND ISD ,19.7,99.1,0.2
189901,MARFA ISD ,99.7,84.6,1
189902,PRESIDIO ISD ,93.5,86.5,2.1
190903,RAINS ISD ,62,92.7,0.6
191901,CANYON ISD ,30,96.6,0.5
192901,REAGAN COUNTY ISD ,66.7,86.7,1.5
193801,BIG SPRINGS CHARTER SCHOOL ,79,69.2,9.1
193902,LEAKEY ISD ,59.6,85,2.4
194902,AVERY ISD ,59.3,88.2,1.1
194903,RIVERCREST ISD ,60.7,97.9,0
194904,CLARKSVILLE ISD ,96.7,94.6,2.1
194905,DETROIT ISD ,69.7,100,0
195901,PECOS-BARSTOW-TOYAH ISD ,64.8,87.5,2.9
195902,BALMORHEA ISD ,89,100,0
196901,AUSTWELL-TIVOLI ISD ,52.9,100,0
196902,WOODSBORO ISD ,62.7,100,0
196903,REFUGIO ISD ,65.1,98,0
197902,MIAMI ISD ,36.4,100,0
198901,BREMOND ISD ,49.3,96.2,0
198902,CALVERT ISD ,94.4,100,0
198903,FRANKLIN ISD ,38.6,100,0.6
198905,HEARNE ISD ,98.3,93.2,3.8
198906,MUMFORD ISD ,68.3,100,0
199901,ROCKWALL ISD ,24.3,98.2,0.1
199902,ROYSE CITY ISD ,38.8,97.3,0.5
200901,BALLINGER ISD ,59.3,95.8,1.6
200902,MILES ISD ,41.5,100,0
200904,WINTERS ISD ,68.5,100,0
200906,OLFEN ISD ,73.9,,0
201902,HENDERSON ISD ,62.5,97.8,0.4
201903,LANEVILLE ISD ,87.7,100,0
201904,LEVERETTS CHAPEL ISD ,77.1,100,0
201907,MOUNT ENTERPRISE ISD ,68.2,93.8,1.6
201908,OVERTON ISD ,66,96.8,0
201910,TATUM ISD ,51.8,100,0.2
201913,CARLISLE ISD ,75,95.6,0.5
201914,WEST RUSK COUNTY CONSOLIDATED ISD ,72.2,98.8,0
202903,HEMPHILL ISD ,61.8,93.5,1.7
202905,WEST SABINE ISD ,53.3,100,0
203901,SAN AUGUSTINE ISD ,87.9,94.5,0.5
203902,BROADDUS ISD ,80,100,0
204901,COLDSPRING-OAKHURST CISD ,62.2,91.8,2.4
204904,SHEPHERD ISD ,67,92.4,0
205901,ARANSAS PASS ISD ,77.1,99.1,0.6
205902,GREGORY-PORTLAND ISD ,53.6,94.2,1
205903,INGLESIDE ISD ,73.3,96.5,0
205904,MATHIS ISD ,85.3,95,1.9
205905,ODEM-EDROY ISD ,67.4,91.7,0.3
205906,SINTON ISD ,68.4,97.3,0.6
205907,TAFT ISD ,85.6,92.9,1.4
206901,SAN SABA ISD ,73.5,98.2,0
206902,RICHLAND SPRINGS ISD ,64.3,100,0
206903,CHEROKEE ISD ,58.9,100,0
207901,SCHLEICHER ISD ,70.1,97.3,0.7
208901,HERMLEIGH ISD ,35.8,100,0
208902,SNYDER ISD ,66.9,95.3,0.4
208903,IRA ISD ,23.5,100,0
209901,ALBANY ISD ,42.1,97.8,0
209902,MORAN ISD ,93.2,100,0
210901,CENTER ISD ,77.8,98.3,0
210902,JOAQUIN ISD ,58.2,91.7,0.5
210903,SHELBYVILLE ISD ,63.6,100,0
210904,TENAHA ISD ,88.2,97.8,0
210905,TIMPSON ISD ,65.4,98,0
210906,EXCELSIOR ISD ,74.6,,
211901,TEXHOMA ISD ,53.8,,
211902,STRATFORD ISD ,61.9,96.3,0.6
212801,CUMBERLAND ACADEMY ,46.4,,0.4
212804,UT TYLER UNIVERSITY ACADEMY ,38,,0
212901,ARP ISD ,55.7,100,0
212902,BULLARD ISD ,34.4,96.2,0
212903,LINDALE ISD ,41,97.7,0.2
212904,TROUP ISD ,51.5,100,0
212905,TYLER ISD ,76.4,96.2,0.1
212906,WHITEHOUSE ISD ,46.7,93.1,1.2
212909,CHAPEL HILL ISD ,76.8,95.5,0.8
212910,WINONA ISD ,78.1,97,0.3
213801,BRAZOS RIVER CHARTER SCHOOL ,54.1,65.1,2.7
213901,GLEN ROSE ISD ,44.7,99.2,0.2
214901,RIO GRANDE CITY CISD ,94.1,97.1,0.1
214902,SAN ISIDRO ISD ,99.5,100,0
214903,ROMA ISD ,85.4,90.8,1.7
215901,BRECKENRIDGE ISD ,63.1,89.2,0.9
216901,STERLING CITY ISD ,40.2,95,0
217901,ASPERMONT ISD ,57.5,100,0
218901,SONORA ISD ,55.8,100,0
219901,HAPPY ISD ,37.2,100,0
219903,TULIA ISD ,83.5,97.3,0
219905,KRESS ISD ,71.5,93.3,0
220801,TREETOPS SCHOOL INTERNATIONAL ,21.5,100,0
220802,ARLINGTON CLASSICS ACADEMY ,20.6,,
220809,FORT WORTH ACADEMY OF FINE ARTS ,14.2,96.2,2
220810,WESTLAKE ACADEMY CHARTER SCHOOL ,1.7,98.7,0.3
220811,EAST FORT WORTH MONTESSORI ACADEMY ,73.6,,
220814,TEXAS SCHOOL OF THE ARTS ,22.3,,
220815,CHAPEL HILL ACADEMY ,60.6,,
220817,NEWMAN INTERNATIONAL ACADEMY OF AR ,50.8,99.1,0.5
220819,HIGH POINT ACADEMY ,26.1,,0.5
220901,ARLINGTON ISD ,74.3,90.5,2.4
220902,BIRDVILLE ISD ,59.7,95.1,0.8
220904,EVERMAN ISD ,95.3,92.5,2
220905,FORT WORTH ISD ,85.5,87.7,3
220906,GRAPEVINE-COLLEYVILLE ISD ,24.3,96.4,0.4
220907,KELLER ISD ,27.8,96.6,0.8
220908,MANSFIELD ISD ,41.7,95.9,0.6
220910,LAKE WORTH ISD ,89.8,85.9,1.1
220912,CROWLEY ISD ,75.2,92.5,1.1
220914,KENNEDALE ISD ,48.6,96.1,0.6
220915,AZLE ISD ,46.1,95.7,0.3
220916,HURST-EULESS-BEDFORD ISD ,51.1,97.6,0.2
220917,CASTLEBERRY ISD ,85.2,93.1,1.4
220918,EAGLE MT-SAGINAW ISD ,42.3,96.8,0.4
220919,CARROLL ISD ,1.2,99.1,0
220920,WHITE SETTLEMENT ISD ,60.7,91.8,1.9
221801,TEXAS COLLEGE PREPARATORY ACADEMIE ,37.4,96.5,0.3
221901,ABILENE ISD ,68.3,94,1.1
221904,MERKEL ISD ,57.2,94.2,0.3
221905,TRENT ISD ,74.8,100,7.1
221911,JIM NED CISD ,21.9,100,0
221912,WYLIE ISD ,21.2,97.6,0.2
222901,TERRELL COUNTY ISD ,57,100,0
223901,BROWNFIELD ISD ,87,95.9,0.4
223902,MEADOW ISD ,75.1,100,0
223904,WELLMAN-UNION CISD ,53.7,100,1.4
224901,THROCKMORTON COLLEGIATE ISD ,45.7,100,0
224902,WOODSON ISD ,54.7,100,0
225902,MOUNT PLEASANT ISD ,76.7,98.2,0.1
225906,CHAPEL HILL ISD ,42.2,99.1,0.3
225907,HARTS BLUFF ISD ,61.6,,
226801,TEXAS LEADERSHIP PUBLIC SCHOOLS ,50.3,94.5,0.2
226901,CHRISTOVAL ISD ,29.1,97.7,0
